File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF567UZO	tsv	gene quantifications	ENCSR000AAN	RNA-seq	CL:0002591	smooth muscle cell of the pulmonary artery	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF820BEA, ENCFF826ONU	9549427	ENCODE Processing Pipeline	cf4e70f370da5784a095ab9b5e2c4def		https://www.encodeproject.org/files/ENCFF567UZO/@@download/ENCFF567UZO.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF902CHM	tsv	gene quantifications	ENCSR000AAN	RNA-seq	CL:0002591	smooth muscle cell of the pulmonary artery	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF103VCA, ENCFF826ONU	9568904	ENCODE Processing Pipeline	f7e78aed23113a8d385bb9df27aac43f		https://www.encodeproject.org/files/ENCFF902CHM/@@download/ENCFF902CHM.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF199YDH	tsv	gene quantifications	ENCSR000AAN	RNA-seq	CL:0002591	smooth muscle cell of the pulmonary artery	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF549VGT, ENCFF940AZB	9897316	ENCODE Processing Pipeline	1456e7a04b613748891e737c7a6f1de5		https://www.encodeproject.org/files/ENCFF199YDH/@@download/ENCFF199YDH.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF304DHM	tsv	gene quantifications	ENCSR000AAN	RNA-seq	CL:0002591	smooth muscle cell of the pulmonary artery	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF592BER, ENCFF940AZB	9918067	ENCODE Processing Pipeline	64a87b4da97c4a21ef351d49288df005		https://www.encodeproject.org/files/ENCFF304DHM/@@download/ENCFF304DHM.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF164YUT	tsv	gene quantifications	ENCSR000AAS	RNA-seq	CL:0002600	smooth muscle cell of trachea	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF795ZOA, ENCFF826ONU	9577040	ENCODE Processing Pipeline	2c28b38cecec5389eb93b611bef64567		https://www.encodeproject.org/files/ENCFF164YUT/@@download/ENCFF164YUT.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF426MAO	tsv	gene quantifications	ENCSR000AAS	RNA-seq	CL:0002600	smooth muscle cell of trachea	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF722ELQ, ENCFF826ONU	9577675	ENCODE Processing Pipeline	3d965b3f142da7b7e16cd48ec2edb6cb		https://www.encodeproject.org/files/ENCFF426MAO/@@download/ENCFF426MAO.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF373YFJ	tsv	gene quantifications	ENCSR000AAS	RNA-seq	CL:0002600	smooth muscle cell of trachea	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF258EEF, ENCFF940AZB	9925997	ENCODE Processing Pipeline	294e8f09227f8c9cf92cc8868ed00720		https://www.encodeproject.org/files/ENCFF373YFJ/@@download/ENCFF373YFJ.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF032ZKL	tsv	gene quantifications	ENCSR000AAS	RNA-seq	CL:0002600	smooth muscle cell of trachea	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF595CIO, ENCFF940AZB	9926002	ENCODE Processing Pipeline	d793941c2f614f27bf421c202ae314e9		https://www.encodeproject.org/files/ENCFF032ZKL/@@download/ENCFF032ZKL.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF485XEK	tsv	gene quantifications	ENCSR000AAV	RNA-seq	CL:0002601	uterine smooth muscle cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF179UDC, ENCFF826ONU	9549493	ENCODE Processing Pipeline	32f3fc4ef390150c7135784eddd7960b		https://www.encodeproject.org/files/ENCFF485XEK/@@download/ENCFF485XEK.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF461EFB	tsv	gene quantifications	ENCSR000AAV	RNA-seq	CL:0002601	uterine smooth muscle cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF826ONU, ENCFF841OYG	9596411	ENCODE Processing Pipeline	c5ca30d1a00f14cbcf654367ba63a522		https://www.encodeproject.org/files/ENCFF461EFB/@@download/ENCFF461EFB.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
